UUID,User Type,User sub type,Declared State,District,Block,School Name,School ID,Declared Board,Org Name,Program Name,Program ID,Project ID,Project Title,Project Objective,Category,Project start date of the user,Project completion date of the user,Project Duration,Project Status,Tasks,Sub-Tasks,Task Evidence,Task Remarks,Project Evidence,Project Remarks
a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799,administrator,ESHM,Haryana,Ambala,Ambala-Ii (Cantt.),Gms Bale Ka Nagla,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,681b0bdb3e09080008d4ea63,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-07T07:29:31.282+05:30,2025-07-05T06:49:43.005+05:30,4 months,submitted,1. Collect and analyze enrolment data from last 5 years.',Enrollment data ',https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/681b0bdb3e09080008d4ea63/a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799/24851c00-1fe9-49d6-82a7-00569354d191/1746769175043.jpg,Enrollment of last 5 years ',Null,Null
a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799,administrator,ESHM,Haryana,Ambala,Ambala-Ii (Cantt.),Gms Bale Ka Nagla,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,681b0bdb3e09080008d4ea63,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-07T07:29:31.282+05:30,2025-07-05T06:49:43.005+05:30,4 months,submitted,2. Conduct meeting with teachers and SMC members to discuss and set enrolment target for this year.',Null,https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/681b0bdb3e09080008d4ea63/a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799/24851c00-1fe9-49d6-82a7-00569354d191/1748068706376.jpg,Meeting of teachers and parents was scheduled to increase the enrollment in school ',Null,Null
a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799,administrator,ESHM,Haryana,Ambala,Ambala-Ii (Cantt.),Gms Bale Ka Nagla,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,681b0bdb3e09080008d4ea63,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-07T07:29:31.282+05:30,2025-07-05T06:49:43.005+05:30,4 months,submitted,3. Form a working committee and plan activities and timeline of enrolment program.',Formation of working committee for enrollment enhancement ',https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/681b0bdb3e09080008d4ea63/a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799/24851c00-1fe9-49d6-82a7-00569354d191/1751697859926.jpg,A working committee has been formed in order to increase the enrollment of students in school ',Null,Null
a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799,administrator,ESHM,Haryana,Ambala,Ambala-Ii (Cantt.),Gms Bale Ka Nagla,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,681b0bdb3e09080008d4ea63,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-07T07:29:31.282+05:30,2025-07-05T06:49:43.005+05:30,4 months,submitted,3. Form a working committee and plan activities and timeline of enrolment program.',Null,https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/681b0bdb3e09080008d4ea63/a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799/24851c00-1fe9-49d6-82a7-00569354d191/1751698054419.jpg,Null,Null,Null
a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799,administrator,ESHM,Haryana,Ambala,Ambala-Ii (Cantt.),Gms Bale Ka Nagla,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,681b0bdb3e09080008d4ea63,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-07T07:29:31.282+05:30,2025-07-05T06:49:43.005+05:30,4 months,submitted,4. Conduct different enrolment activities along with working committee.',Null,https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/681b0bdb3e09080008d4ea63/a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799/24851c00-1fe9-49d6-82a7-00569354d191/1748068924623.jpg,surveys were conducted time to time to increase enrollment ',Null,Null
a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799,administrator,ESHM,Haryana,Ambala,Ambala-Ii (Cantt.),Gms Bale Ka Nagla,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,681b0bdb3e09080008d4ea63,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-07T07:29:31.282+05:30,2025-07-05T06:49:43.005+05:30,4 months,submitted,5. Calculate percentage increase in enrolment from last year and create an enrolment report.',Null,https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/681b0bdb3e09080008d4ea63/a1a5b4fe-74eb-4e3b-9ef2-dc0b7a96b799/24851c00-1fe9-49d6-82a7-00569354d191/1746769837979.jpg,enrollment percentage increase ',Null,Null
ba7ac1bc-8397-4b97-a643-21baa03468c5,administrator,HT,Haryana,Ambala,Saha,Gps Chudiali,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,682d57e43e09080008ee8286,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-21T04:34:44.225+05:30,2025-07-04T03:28:13.455+05:30,4 months,submitted,1. Collect and analyze enrolment data from last 5 years.',Enrolment ',https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/682d57e43e09080008ee8286/ba7ac1bc-8397-4b97-a643-21baa03468c5/c0979559-0484-452e-8624-a58bd512b9ed/1747803004752.jpg,Enrolment decrease due to single teacher in school and low population in village ',Null,Null
ba7ac1bc-8397-4b97-a643-21baa03468c5,administrator,HT,Haryana,Ambala,Saha,Gps Chudiali,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,682d57e43e09080008ee8286,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-21T04:34:44.225+05:30,2025-07-04T03:28:13.455+05:30,4 months,submitted,2. Conduct meeting with teachers and SMC members to discuss and set enrolment target for this year.',Increase enrolment ',https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/682d57e43e09080008ee8286/ba7ac1bc-8397-4b97-a643-21baa03468c5/c0979559-0484-452e-8624-a58bd512b9ed/1751183943626.jpg,Null,Null,Null
ba7ac1bc-8397-4b97-a643-21baa03468c5,administrator,HT,Haryana,Ambala,Saha,Gps Chudiali,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,682d57e43e09080008ee8286,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-21T04:34:44.225+05:30,2025-07-04T03:28:13.455+05:30,4 months,submitted,3. Form a working committee and plan activities and timeline of enrolment program.',Null,https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/682d57e43e09080008ee8286/ba7ac1bc-8397-4b97-a643-21baa03468c5/c0979559-0484-452e-8624-a58bd512b9ed/1751184015464.jpg,Null,Null,Null
ba7ac1bc-8397-4b97-a643-21baa03468c5,administrator,HT,Haryana,Ambala,Saha,Gps Chudiali,6020000000,State (Haryana),DIKSHA Custodian Org,haryana program,PGM_172135_AAO_SCHOOL_CHALE,682d57e43e09080008ee8286,Aao School Chalein 2025-26 (For School Leaders)',School leaders will conduct activities for increasing enrolment of students in their schools.',"Education Leader, School Process'",2025-05-21T04:34:44.225+05:30,2025-07-04T03:28:13.455+05:30,4 months,submitted,4. Conduct different enrolment activities along with working committee.',Null,https://bmzbbujw9kal.compat.objectstorage.ap-mumbai-1.oraclecloud.com/odev-dev-diksha-manage-learn/survey/682d57e43e09080008ee8286/ba7ac1bc-8397-4b97-a643-21baa03468c5/c0979559-0484-452e-8624-a58bd512b9ed/1751184077755.jpg,Null,Null,Null
